location,Followers,Hashtags,Username,Datetime,Text,Original,Unlemmatize
nowhere,3250,"['ApexLedgends', 'ApexLegends']",FuckGizzles,2022-12-29 19:55:10+00:00,"['world', 'first', 'first', 'ever']","""Comission Finished! Source:",worlds first first ever
Worldwide,63259,,HorizonUnion,2022-12-29 19:54:26+00:00,"['we', 'know', ""'"", 's']",WORLDS FIRST FIRST EVER,we know 's
España,13,"['ApexLegends', 'ESL', 'NSGatOnce']",NorthandSouthGC,2022-12-29 19:54:16+00:00,"['nsg', 'north', 'amp', 'south', 'gaming', 'clan', 'just', 'got', 'today', 'top', 'team', 'seasonal', 'ranking', 'p', 'eu', 'we', 'wanna', 'thanks', 'people', 'make', 'possible']",We know some 's,nsg north amp south gaming clan just got today top teams seasonal ranking ps eu we wanna thanks people makes possible 
"Hell, MI",246,,ATOMlCATS,2022-12-29 19:54:09+00:00,"[""i'm"", 'literally', 'crypto', 'bro', 'lmfao', 'apex', 'legend', 'character']",NSG (North &amp; South Gaming Clan).Just got today on the Top teams of the Seasonal Ranking on (ps4) on EU .We wanna thanks to and all the people who makes this possible.,i'm literally crypto bro lmfao apex legends character
"Arizona, USA",46,"['ApexLegends', 'apex', 'Apex募集ps4', 'APEX', 'Apex募集pc', 'Apexモバイル', 'valorant', 'VALORANT', 'VALORANTマイバッジ', 'VALORANTChampions', 'ValorantClips', 'gamer', 'gamergirls', 'gameawards', 'gamedev']",McFireBaby,2022-12-29 19:53:43+00:00,"['let', 'end', 'debate', 'here', 'apex', 'better', 'valorant']",I'm literally not a crypto bro lmfao my name is about the apex legends character,lets end debate here apex better valorant 
Timezone Asia/Tokyo (GMT+9),266,"['ApexLegends', 'マップローテーション']",MapRotationBot,2022-12-29 19:53:41+00:00,"['current', ""world's"", 'edge', 'next', 'broken', 'moon']",Lets end the debate here. Apex is better than valorant.,current world's edge next broken moon 
TX,168,"['smallstreamers', 'SmallStreamersConnect', 'ApexLegends', 'smallstreamerssupport']",VanillaFaceGame,2022-12-29 19:53:20+00:00,"['howre', 'spending', 'youre', 'thursday', 'come', 'spend', 'me']",Current:World's Edge at :30-06:00Next:Broken Moon at :00-07:00,howre spending youre thursday come spend me 
"St Louis, MO",460,,carolmarie_w,2022-12-29 19:53:06+00:00,"['vouch', 'nikki', 'gem', 'yall', 'lucky', 'her']",Howre you spending YOURE Thursday?? Come spend it with me!,vouch nikki gem yall lucky her 
"| Detroit, Michigan ",413,,snowsval,2022-12-29 19:53:05+00:00,"['want', 'individually', 'good', 'game', 'solo', 'q', 'want', 'competitive', 'stack']",Vouch!!!!! Nikki is a gem yall would be so lucky to have her!!!,want individually good game solo q want competitive stack
Tit                           ,47,,CalamariSteven,2022-12-29 19:52:57+00:00,"['oh', ""you're"", 'new', 'player', 'make', 'sense', 'they', 'better', 'free', 'reward', ""it's"", 'lame', 'lately']",if you want to be individually really good at the game solo q if you want to be competitive then stack,oh you're new player makes sense they better free rewards it's lame lately 
,154,,GAME_introduce7,2022-12-29 19:52:30+00:00,"['apex', 'legend', 'video', 'postapex', 'legend', 'three', 'people', 'choose', 'different', 'legend', 'fight', 'pair', 'click', 'link', 'watch', 'now']","Oh you're a new player, that makes sense. They used to give us much better free rewards, it's been lame lately.",apex legends video postapex legends three people choose different legends fight pair click link watch now 
19,231,,moonkrw,2022-12-29 19:51:38+00:00,"['need', 'play', 'apex', 'want', 'play', 'apex', 'legend', 'game', 'dead']",Apex Legends Video PostApex Legends:Three people choose different legends and fight as a pair.click the link below to watch now:1:,need play apex want play apex legends game dead
india,6,,rhythm_ranjan,2022-12-29 19:51:31+00:00,"['apex', 'legend', 'mobile', 'new', 'game', 'these', 'tip', 'trick', 'beginner', 'help', 'play', 'like', 'pro', 'httech']",i need to play apex i want to play Apex Legends why game dead,apex legends mobile new game these tips tricks beginners help play like pro httech
,11,,ParadoxDogma,2022-12-29 19:51:20+00:00,"[""don't"", 'forget', 'you', 'add', 'new', 'playable', 'content']",Apex Legends Mobile: New to the game? These tips and tricks for beginners will help you play like a Pro HTTech,don't forget you add new playable content 
Olympus,14,,FrozenCrescent,2022-12-29 19:51:18+00:00,"['what', 'colossal', 'w']",Don't forget. You can add new playable content.,what colossal w
,49,['PS4live'],riko_bandz,2022-12-29 19:51:02+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",What a colossal W,check broadcast playstation apex legends live
fellybishh@gmail.com,2193,"['newyorkcity', 'apexlegends']",FellyBishh,2022-12-29 19:50:49+00:00,"['vibing', 'today', 'spending', 'day', 'yesterday', 'today', 'plan', 'school', 'work', 'editing', 'playing', 'yall', 'today']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,vibing today spending day yesterday todays plans school work editing playing yall today 
,1175,['ApexLegends'],ApexTOP10_JPN,2022-12-29 19:50:27+00:00,"['top', 'jpn', 'tttcheekyttt_sbi', 'pad_volzz', 'dfm', '_', 'tappy', 'milimfps', 'se_licco', 'kantera_b', 'ldn_kuroton', 'fc_umichanloveti', 'blackpink', 'ponponwarrior']","Vibing today after spending the day in yesterday. Todays plans is school work, editing, and playing what are yall up to today?",top jpn tttcheekyttt_sbi pad_volzz dfm_ tappy milimfps se_licco kantera_b ldn_kuroton fc_umichanloveti blackpink ponponwarrior
"Tacoma, WA",84,"['w00pyisgodttv', 'apexlegends', 'squadwipe', 'twitch', 'tiktok', 'twitter', 'instagram', 'hover']",Woopyisgod,2022-12-29 19:50:00+00:00,"['giving', 'ranked', 'squad', 'w', 'p', 'treatment']","TOP10 in JPN (59,506) tttcheekyttt_SBI (50,509) pad_VOLzZ (48,905) DFM_1tappy4 (45,253) MiliMfps5 (45,095) SE_Licco286 (44,210) Kantera_b7 (43,779) LDN_Kuroton8 (42,078) FC_UmichanLoveti9 (41,548) BlackPink (41,159) PonponWarrior",giving ranked squad w p treatment
Bored,584,,WavyMagneto,2022-12-29 19:49:58+00:00,"['ikr', 'whats', 'wrong', 'melmaooive', 'playing', 'season', 'i', 'dont', 'loading', 'screen', 'i', 'thought', 'not', 'ill', 'new', 'screen', 'yeah', 'i', 'havent', 'gotten', 'damn', 'thing', 'lol']",just giving this ranked squad the w00p treatment,ikr whats wrong melmaooive playing seasons i dont loading screens i thought not ill new screens yeah i havent gotten damn thing lol
Fragging at Skull Town ,14,['ApexLegends'],ItsJETRO09,2022-12-29 19:49:54+00:00,"['oh', 'youre', 'good', 'apex', 'who', 'main', 'oh', 'main', 'horizon', 'yeah', 'retract', 'statement']","Ikr whats wrong with meLmaooIve been playing for seasons I dont have many loading screens, so I thought why not, ill take new screens but yeah I havent gotten a damn thing lol",oh youre good apex who main oh main horizon yeah retract statement
,236,,iamnothappie,2022-12-29 19:49:47+00:00,"['someone', 'boutta', 'blocked', 'account', 'twitter']",Oh youre good at apex? Who do you main! Oh you main horizon yeah retract that statement,someones boutta blocked account twitter
United States,93,['ApexLegends'],Skeltoz1,2022-12-29 19:49:30+00:00,"['i', 'love', 'apex', 'legend', 'i', 'love', 'apex', 'legend', 'i', 'love', 'apex', 'legend', 'i', 'love', 'apex', 'legend', 'i', 'love', 'apex', 'legend', 'i', 'love', 'apex', 'legend', 'i', 'love', 'apex', 'legend', 'i', 'love', 'apex', 'legend']",Someones boutta be my first blocked account on twitter,i love apex legends i love apex legends i love apex legends i love apex legends i love apex legends i love apex legends i love apex legends i love apex legends 
Tx,206,['PS4live'],ttvelbl,2022-12-29 19:49:29+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",I LOVE APEX LEGENDS!I LOVE APEX LEGENDS!I LOVE APEX LEGENDS!I LOVE APEX LEGENDS!I LOVE APEX LEGENDS!I LOVE APEX LEGENDS!I LOVE APEX LEGENDS!I LOVE APEX LEGENDS!,check broadcast playstation apex legends live
Ohio,313,,BanrionBex,2022-12-29 19:48:32+00:00,"['id', 'love', 'this', 'thanks', 'ryno']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,id love this thanks ryno 
FREE Scrims/Tourneys #vnmNews,13104,['ApexLegends'],vnmTourney,2022-12-29 19:48:03+00:00,"['winner', 'br', 'i', 'playingjoin', 'today', 'event']",Id love to be a part of this! Thanks Ryno!!!,winners br i playingjoin today event 
,257,,MelinkosiK,2022-12-29 19:47:52+00:00,"[""ain't"", 'fragment']",Winners of the BR I say more for playingJoin us TODAY for event ://,ain't fragment
"Chicago, IL",179,['ApexLegends'],raddad918,2022-12-29 19:45:57+00:00,"['after', 'watching', 'sniper', 'vid', 'go', 'check']",Ain't this just Fragment,after watching sniper vid go check
"Miami, FL",226,,RaziRath,2022-12-29 19:45:36+00:00,"['i', 'seriously', 'dont', 'think', 'audio', 'fix', 'n', 'make', 'sad']",After watching sniper vid!! Go check it out,i seriously dont think audio fix n makes sad
Hooters with the boys,17,,NickAdamsBot,2022-12-29 19:44:44+00:00,"['throw', 'apex', 'legend', 'game', 'garbage', 'receptacle', 'it', 'longer', 'meaning', 'life', 'pick', 'breakfast', 'head', 'starbucks', 'fellow', 'brother', 'new', 'life']",I seriously dont think well ever get an audio fix in n it makes me sad,throw apex legends game garbage receptacle it longer meaning life pick breakfast head starbucks fellow brethren new life 
United States,159,,Kingbooger94,2022-12-29 19:42:55+00:00,"['check', 'playing', 'apex', 'legend', 'live', 'pub', 'grinding', 'ranked', 'grinding', 'plat', 'apex', 'legend']","Throw your Apex Legends game into the garbage receptacle. It no longer has meaning in your life. Pick up a breakfast and head to Starbucks with your fellow brethren, this is your new life.",check playing apex legends live pubs grinding ranked grinding plat apex legends
,77,,HsKBeware,2022-12-29 19:42:49+00:00,"['i', 'beeennm', 'saaayying', 'thissss', 'you', 'hear', 'how', 'i', 'be', 'going', 'off']",Check out playing Apex Legends!! LIVE - PUBS then grinding Ranked | Grinding for PLAT | Apex Legends via,i beeennm saaayying thissss you hear how i be going off
Where she want me to be ,809,['ApexLegends'],BladeGamingTV_,2022-12-29 19:41:21+00:00,"['last', 'team', 'tried', 'clip']",I BEEENNM SAAAYYING THISSSS YOU HEAR HOW I BE GOING OFF,last team tried clip
,9,['PS4live'],Utdgaming1,2022-12-29 19:41:18+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",Last team tried to get a clip out of me,check broadcast playstation apex legends live
I’m probably Home,226,,rayvi0li,2022-12-29 19:41:16+00:00,"['apex', 'legend', 'ranked', 'terrible', 'gaming', 'experience']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,apex legends ranked terrible gaming experience
,6628,,ChasinCrypto247,2022-12-29 19:39:08+00:00,"['any', 'madden', 'ufc', 'apex', 'legend', 'fortnite', 'p']",Apex legends ranked is a terrible gaming experience,any madden ufc apex legends fortnite ps 
In your bed with a gun,529,,Ghosty_toasty5,2022-12-29 19:38:34+00:00,"['join', 'club']","Any Madden , UFC , Apex Legends, or Fortnite on PS?",join club
In your bed with a gun,529,,Ghosty_toasty5,2022-12-29 19:38:14+00:00,"['no', 'silly', 'goose']",Join the club,no silly goose 
,68,,Ditcher718,2022-12-29 19:37:52+00:00,"['oooh', ""i've"", 'talkin', 'bout', 'i', 'finally', 'tweeted']",No you silly goose.,oooh i've talkin bout i finally tweeted
,16,"['ApexLegends', 'PlayApex', 'apexskin', 'HEC', 'LFO4EVER', 'KARASUNO']",kaisr81,2022-12-29 19:37:42+00:00,"[""it's"", 'a', 'pretty', 'fun', 'game']",Oooh I've also been talkin bout it for a while but I just finally tweeted it,it's a pretty fun game 
"Virginia, USA",1472,,FND1ana_YT,2022-12-29 19:37:15+00:00,"['can', 'bring', 'day', 'i', 'missed']",It's A pretty fun game.,can bring day i missed
Unknown,60,"['apex', 'apexlegends', 'wingman', 'apexclips', 'twitchclips', 'twittergaming']",Pbook19,2022-12-29 19:37:10+00:00,"['apex', 'wingman', 'beefy', 'damage', 'double', 'kill']",Can you bring back the day again I missed it,apex wingman beefy damage double kills 
"Australia, Melbourne ",24377,,BirnoOCE,2022-12-29 19:37:00+00:00,"['playing', 'rank', 'hour', 'apex', 'legend', 'rookie', 'bronze', 'silver', 'gold', 'plat', 'diamond', 'master', 'apex', 'pred', 'bomb', ""k's"", 'vid', 'thumbnail']",Apex (Wingman) - Beefy Damage Double Kills -,playing rank hours apex legends rookie bronze silver gold plat diamond masters apex pred bombs k's vid thumbnail
Tit                           ,47,,CalamariSteven,2022-12-29 19:36:34+00:00,"['why', 'trying', 'shit']",Playing in ever rank in HOURS in Apex Legends!Rookie Bronze Silver Gold Plat Diamond Masters/Apex Pred bombs K's Vid - by Thumbnail by,why trying shit
,165,,TonFlyAlwayz,2022-12-29 19:36:21+00:00,"['i', 'dont', 'understand', 'patch', 'game', 'frequently', 'this', 'month', 'shit', 'dead']",Why are you even trying to get this shit,i dont understand patch game frequently this month shit dead
,222,,snake_beater,2022-12-29 19:36:05+00:00,"['vouch', 'lady']",I really dont understand why cant patch their game more frequently. This every /3 month shit is dead,vouch ladies
"Virginia, USA",1472,,FND1ana_YT,2022-12-29 19:35:43+00:00,"['i', 'missed', 'day']",Vouch for all these ladies,i missed day
UK,60,,hantugoryo,2022-12-29 19:34:49+00:00,"['stacking', 'ranked', 'solo', 'queueing', 'different', 'game', 'mode', 'l', 'reading', 'comprehension', 'bozo']",I missed out on day,stacking ranked solo queueing different game mode l reading comprehension bozo 
Tit                           ,47,,CalamariSteven,2022-12-29 19:34:13+00:00,"[""that's"", 'work']",stacking ranked or solo queueing a different game mode (L reading comprehension bozo),that's works 
In your bed with a gun,529,,Ghosty_toasty5,2022-12-29 19:33:55+00:00,['guess'],That's not how it works., guess 
In your bed with a gun,529,,Ghosty_toasty5,2022-12-29 19:33:43+00:00,"['this', 'awkward']",(Guess),this awkward
"Virginia, USA",1472,,FND1ana_YT,2022-12-29 19:33:18+00:00,"['will', 'back', 'i', 'didnt', 'i', 'didnt', 'know', 'going']",This is very awkward,will back i didnt i didnt know going
,47224,['Apexlegends'],mokeysniper,2022-12-29 19:33:09+00:00,"['it', 'feel', 'like', 'untapped', 'insane', 'physic', 'interaction', 'lurking', 'deeply', ""apex's"", 'scrambled', 'source', 'engine', 'fragment', 'potential', 'complete', 'revolutionize', 'destroy', 'game']",Will that be back? I didnt get it because I didnt know this was going on,it feels like untapped insane physics interactions lurking deeply apex's scrambled source engine fragments potential complete revolutionize destroy game 
United States,27,,Eradicationism,2022-12-29 19:32:58+00:00,"['im', 'k', 'entire', 'world', 'loba', 'apex', 'legend', 'mindset']","It feels like there are still some untapped insane physics interactions lurking deeply in Apex's scrambled Source engine fragments, that have the potential to either complete revolutionize or destroy the game.",im k entire world loba apex legends mindset
Tit                           ,47,,CalamariSteven,2022-12-29 19:32:29+00:00,"[""don't"", 'forget', 'fix', 'game']",im not top % k in the entire world with loba on apex legends with your mindset,don't forget fix game 
,2179,,tylerxox3,2022-12-29 19:31:49+00:00,"['i', 'am', 'available']",Don't forget! Fix your game!,i am available
South Florida 954,176,"['Twitch', 'gameplay', 'ApexLegends', 'GamerDad', 'Gamer4Life']",fajita954,2022-12-29 19:31:23+00:00,"['omw', 'affiliate', 'come', 'check', 'ranked', 'arena']",I AM AVAILABLE,omw affiliate come check ranked arenas 
,187,['ApexLegends'],bford760,2022-12-29 19:30:52+00:00,"['and', 'like', 'diamond', 'solo', 'q', 'bb']",Omw to affiliate on ! Come check out my ranked arenas ! ://,and like diamond solo q bb
"Austin, TX",32,['PS4live'],TKdaGoat23,2022-12-29 19:30:45+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",And just like that we are back in diamond solo Q bb,check broadcast playstation apex legends live
,35,"['Apexlegends', 'ApexLegendsFanart', 'Apex募集']",DemonTwizy,2022-12-29 19:30:38+00:00,['workin'],Check out my broadcast from my PlayStation ! (Apex Legends) live at,workin
In your bed with a gun,529,,Ghosty_toasty5,2022-12-29 19:30:25+00:00,"['any', 'gonna', 'fuck', 'great']",Workin,any gonna fuck great 
In your bed with a gun,529,,Ghosty_toasty5,2022-12-29 19:29:56+00:00,"['ghosty', ""don't"", 'speak', 'teaching', 'him', 'ghosty', 'defensive', 'topic']",Any they are gonna fuck now Great.,ghosty don't speak teachings him ghosty defensive topic 
"Los Angeles, CA",129,,LEV3LTTV,2022-12-29 19:29:18+00:00,"['let', 'edit', 'u']",Ghosty: you don't speak about my teachings to him. (Ghosty seems really defensive about this topic),let edit u
"Cincinnati,USA",538,,23Greatness,2022-12-29 19:28:29+00:00,"['yall', 'need', 'change', 'point', 'rank', 'shit', 'trash', 'way', 'i', 'kill', 'beginning', 'party', 'negative', 'thats', 'stupid']",Let me edit for u,yall need change point rank shit trash way i kill beginning party negative thats stupid 
under world,1018,['PS4live'],liljcm14,2022-12-29 19:28:18+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",yall need to change the point system in rank that shit so trash no way I get three kill in the beginning get third party and be negative! Thats stupid.,check broadcast playstation apex legends live
,1037,,Kie_Aarreon,2022-12-29 19:28:01+00:00,"[""i'm"", 'live', 'playing', 'apex', 'legend', 'twitch']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,i'm live playing apex legends twitch 
"Los Angeles, CA",129,,LEV3LTTV,2022-12-29 19:27:05+00:00,"['lmao', 'scream']",I'm now live playing Apex Legends over on Twitch:,lmao scream
"Virginia, USA",1472,,FND1ana_YT,2022-12-29 19:27:03+00:00,"['i', 'got', 'im', 'grateful']",Lmao the first scream,i got im grateful
"Los Angeles, CA",129,['ApexLegends'],LEV3LTTV,2022-12-29 19:26:16+00:00,"['month', 'apex', 'begin', 'wz', 'player']",I never got any of these Im grateful,month apex begins wz player 
,340,,I_amYurei,2022-12-29 19:25:50+00:00,"['gonna', 'start', 'posting', 'apex', 'clip', ""it's"", 'straight', 'god', 'war', 'league', 'legend', 'lately']",Month of Apex begins now (WZ player),gonna start posting apex clips it's straight god war league legends lately
,543,['ApexLegends'],dizzybabeee,2022-12-29 19:25:49+00:00,"['flatline', 'hip', 'probably', 'faves', 'tbh', 'along', 'w', 'car']",Gonna start posting more apex clips it's been straight god of war and league of legends lately,flatline hip probably faves tbh along w car 
"Dallas, TX",573,,botisimostreams,2022-12-29 19:25:08+00:00,"['tna_shawnn', 'is', 'streaming', 'up', 'a', 'hot', 'bowl', 'of', 'entertainment', 'playing', 'apex', 'legend', 'better', 'get', 'yourself', 'a']",Flatline hip fire is probably one of my faves tbh. Along w the CAR.,tna_shawnn is streaming up a hot bowl of entertainment playing apex legends better get yourself a
"Veneto, Italy",126,,paolojames781,2022-12-29 19:24:23+00:00,"['mainly', 'passive', 'maybe', 'ult']",TNA_shawnn Is Streaming Up A Hot Bowl Of Entertainment Playing Apex Legends! Better Get Yourself A,mainly passive maybe ult
"San Francisco, CA",19,['PS4live'],Josue2o9,2022-12-29 19:24:08+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",Mainly passive but maybe also ult,check broadcast playstation apex legends live
,161,"['TWITCHSTREAMER', 'APEX', 'APEXLEGENDS', 'ACUE', 'ITZTIMMYZ', 'LIVENOW', 'FYP', 'REELS']",billsabertv,2022-12-29 19:23:58+00:00,"['the', 'best', 'mad', 'maggie', 'in', 'the', 'world', 'is', 'live', 'you', 'are', 'the', 'best', 'twitch', 'tv', 'billsabertv']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,the best mad maggie in the world is live you are the best twitch tv billsabertv
"Bristol, England",72,,lordlovelover,2022-12-29 19:23:37+00:00,"['the', 'fact', 'response', 'make', 'wonder', 'ignorant', 'arrogant']",THE BEST MAD MAGGIE IN THE WORLD IS LIVE!!!YOU ARE THE BEST TWITCH . TV / BILLSABERTV,the fact response makes wonder ignorant arrogant 
ON/Canada 🇨🇦,989,['apexlegends'],Loreathan,2022-12-29 19:23:36+00:00,"['new', 'apex', 'gameplay', 'short']",The fact there is no response makes me wonder are they ignorant or arrogant?,new apex gameplay shorts
Bored,584,,WavyMagneto,2022-12-29 19:23:18+00:00,"['day', 'claiming', 'drop', 'havent', 'gotten', 'day']",New Apex Gameplay shorts from me,day claiming drops havent gotten day
Maine,2,,MargaretCampeau,2022-12-29 19:22:52+00:00,"['add', 'cross', 'progression']",Day now claiming the drops and still havent gotten anything from day,add cross progression 
,422,['ApexLegends'],_missmani03,2022-12-29 19:22:50+00:00,"['maybe', 'i', 'start', 'vantage', 'time', 'playing', 'yesterday']",Add cross progression!!!,maybe i start vantage time playing yesterday 
,132,"['overwatch', 'overwatch2', 'potg', 'potgoverwatch', 'potgoverwatch2', 'cod', 'Warzone', 'apexlegends', 'tiktokgaming', 'gamersoftiktok', 'gamer', 'gaming', 'pcgaming', 'ps5', 'xbox', 'fps', 'meme', 'memes', 'gamergoals', 'smallstreamer', 'twitch', 'followers', 'followme']",Legendary_twch,2022-12-29 19:22:40+00:00,['death'],Maybe I should start using Vantage more first time ever really playing with her yesterday.,death
,30,"['ApexLegends', 'XboxShare']",MercyFan619,2022-12-29 19:22:27+00:00,"['first', 'arena', 'match', 'season', 'went', 'pretty']",Death from above,first arenas match season went pretty
Night City,10,,Tokkelz,2022-12-29 19:22:13+00:00,"['nah', ""i'm"", 'gonna', 'ratio']",First Arenas match of this season went pretty well,nah i'm gonna ratio
,17,,Snizz19596388,2022-12-29 19:21:54+00:00,"['holy', 'shit', 'new', 'game', 'ur', 'trying', 'apex', 'getting', 'pathetic']",Nah I'm gonna be the one to ratio you,holy shit new game ur trying apex getting pathetic
United States,480,"['GGsOnly', 'smallstreamer', 'smallstreamersconnect', 'SupportSmallstreamers', 'apexlegends', 'apexlegendsclips', 'ps5']",LeBlackBush69,2022-12-29 19:21:43+00:00,"['a', 'little', 'showcase', 'check', 'insta', 'rest']","Holy shit make a new game if ur done trying on apex, this is getting pathetic",a little showcase check insta rest
he/him,175,,combos4fn,2022-12-29 19:21:19+00:00,"['you', 'it']",A little showcase check my Insta for the rest,you it 
,30,['XboxShare'],MercyFan619,2022-12-29 19:21:18+00:00,"['first', 'arena', 'match', 'season', 'went', 'pretty']",You did it!,first arenas match season went pretty
In your bed with a gun,529,,Ghosty_toasty5,2022-12-29 19:21:07+00:00,"['wa', 'depresso', 'expresso', 'beating', 'friend', 'injustice', 'feel', 'better']",First Arenas match of this season went pretty well,was depresso expresso beating friends injustice feel better
USA,2070,,KGMJr32,2022-12-29 19:21:04+00:00,"['newest', 'yt', 'short', 'apex', 'legend', 'youtube', 'talk']",Was depresso expresso but then beating up friends in injustice made me feel better,newest yt short apex legends youtube talk
Greece,165,,PYROKOLOS,2022-12-29 19:20:21+00:00,"['if', ""you're"", 'talking', 'league', 'legend', 'apex', 'legend', 'fortnite', 'ark', 'survival', 'evolved', 'hollow', 'knight', 'yeah', 'play']",Newest YT Short:Apex Legends: YouTube Talk via,if you're talking league legends apex legends fortnite ark survival evolved hollow knight yeah play 
Minnesota,344,"['youtube', 'apexlegends']",GameGuy_,2022-12-29 19:19:59+00:00,"['new', 'youtube', 'video', 'now', 'first', 'day', 'coming', 'control', 'amazing', 'happens', 'believe']","If you're talking about League of legends, apex legends , fortnite , ark: survival evolved and hollow knight then yeah i do play!",new youtube video now first day coming control amazing happens believe 
,8881,"['apex', 'ApexLegends', 'ApexLegendsFanart']",RECXNCY,2022-12-29 19:19:58+00:00,"['d', 'apex', 'twitter', 'header', 's', 'appreciated', 'designed', 'open']","New Youtube video out NOW! First day coming back to control, and it is amazing what happens when you believe!! ://",d apex twitter header s appreciated designed open 
,9,['PS4live'],Adolfo78218471,2022-12-29 19:19:48+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",D Apex Twitter header for + s are much Appreciated!Designed by are Open!,check broadcast playstation apex legends live
,469,['ApexLegends'],ApexTop10,2022-12-29 19:19:41+00:00,"['top', 'fuhhnq', 'timeclub', 'kborrow', 'zachmazer', 'furia', 'hiswattson', 'tttcheekyttt_sbi', 'dutchvand', 'tao', 'w', 'ventis', 'zaine', 'afuwu', 'w']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,top fuhhnq timeclub kborrow zachmazer furia hiswattson tttcheekyttt_sbi dutchvand tao w ventis zaine afuwu w 
,321,"['apexlegends', 'smallstreamer', 'twitch', 'content']",INK_Villain_tv,2022-12-29 19:19:25+00:00,"['live', 'let', 'today']","TOP10 (88,070) Fuhhnq (76,480) TimeClub-kBorrow (70,680) Zachmazer4 (61,676) FURIA HisWattson5 (59,953) tttcheekyttt_SBI6 (59,418) dutchvand7 (57,568) Tao-w-8 (56,279) Ventis9 (53,544) Zaine (52,260) AFuwu-w-",live lets today
,22,,GGZiiSocialxxx,2022-12-29 19:18:16+00:00,"['to', 'away', 'point', 'running', 'fucking', 'potato', 'titanfall', 'code', 'server', 'new', 'game', 'objective', 'based', 'game', 'mode', 'tired', 'clown']",live. lets see if we get to today,to away point running fucking potato titanfall code servers new game objective based game modes tired clowns 
BROKEN MOON,16,['ApexLegends'],apex_Voiceline,2022-12-29 19:18:16+00:00,"['mirage', 'now', 'ya', 'me', 'ya', ""don't"", 'now', 'ya', 'me', 'boom', ""you're"", 'dead']","To go away at this point, still running on fucking potato Titanfall code and servers, give us a new game with objective based game modes, tired of these clowns.",mirage now ya me ya don't now ya me boom you're dead 
"Parma, Emilia Romagna",96,,ReVoTaLiZeR,2022-12-29 19:18:15+00:00,"['my', 'p', 'pro', 'died', 'day', 'ago', 'pc', 'literally', 'play', 'damn', 'game', 'im', 'playing', 'buy', 'p', 'play', 'mean', 'crossssssprogressionnn']","Mirage:"" Now ya see me, now ya don't. Now ya see me, boom, you're dead.""",my ps pro died days ago pc literally play damn game im playing buy ps play mean crossssssprogressionnn 
,0,"['CharityFundraising', 'CharityDonation', 'FundraisingCampaign']",fundraisertrav,2022-12-29 19:18:02+00:00,"['stella', 'play', 'apex', 'legend', 'custom', 'lobby', 'charity', 'video']",My ps4 pro died days ago.. and i have a pc.. i literally cant play the only damn game im playing and have to buy a another ps4/5 just to play this i mean. Crossssssprogressionnn??,stella plays apex legends custom lobbies charity video 
11.16.20,1270,,ScarEnvy,2022-12-29 19:18:00+00:00,"['learned', 'best']",Stella Plays: Apex Legends Custom Lobbies for Charity [Video],learned best
Massachusetts ,186,['apexlegends'],Bruinsfan2882,2022-12-29 19:15:50+00:00,"['bloodhound', 'going']",learned from the best,bloodhound going
,1645,,faiz___m,2022-12-29 19:15:48+00:00,"['apex', 'legend', 'exciting']",Bloodhound going in,apex legends exciting
,6,"['ARENA', 'APEX', 'APEXLEGENDS', 'CLASIFICATORIAS', 'PS4share']",YEYOO902,2022-12-29 19:15:19+00:00,"['full', 'team']",apex legends is about to get more exciting,full team 
"Los Angeles, CA",39864,"['ApexLegends', 'eSports', 'PcGaming', 'Gamers', 'Gaming', 'Tournament']",ZotacCup,2022-12-29 19:15:12+00:00,"['become', 'champion', 'today', 'zotac', 'cup', 'x', 'tournament', 'last', 'sign', 'ups', 'startsusa', 'canada', 'prize', 'pool']",Full team ://,become champion today zotac cup x tournament last sign ups startsusa canada prize pool 
25 + they/he,75,,gotchipoints,2022-12-29 19:15:01+00:00,"['brb', 'need', 'play', 'bit', 'tf', 'beat', 'apex', 'legend']",Become a champion today in the ZOTAC CUP x tournament. Last call for sign ups before it startsUSA/Canada - /29/2022Prize Pool - $250,brb need play bit tf beat apex legends
"Oklahoma, USA",50,['PS4live'],LushIce98,2022-12-29 19:14:59+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",brb i need to play a bit more tf2 to beat apex legends,check broadcast playstation apex legends live
"Pennsylvania, USA",109,"['ApexLegends', 'PS4live']",dee_playsgames,2022-12-29 19:14:34+00:00,"['hi', 'apex', 'legend', 'live']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,hi apex legends live
